検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
イットー個別指導学院,2.792,-4.663,4.995,484,22889,4433,16726,571,580,2575,13914,3931,319,179
大学受験 塾,2.77,-0.004,8.709,148,7152,1923,4659,518,178,281,3248,2446,148,74
明光義塾,2.762,0.0,2.863,1439,70097,21739,43622,1765,2145,7290,36631,16406,2530,1043
塾講師 アルバイト,2.761,0.0,8.258,148,7218,2704,3775,730,1648,458,1523,1809,558,126
katekyo学院,2.758,-0.18,12.925,81,3964,1191,2491,129,108,263,2026,1101,137,42
小学生 塾,2.754,0.0,9.225,141,6929,1939,4613,79,159,1769,3612,733,215,194
森塾,2.751,-0.002,4.24,749,36899,8206,26430,844,909,3779,20773,8301,844,364
リード進学塾,2.742,0.0,15.535,76,3779,1087,2439,129,86,349,2278,673,69,49
熟語,2.741,0.0,6.756,229,11393,5013,5539,387,779,1712,3644,1875,1329,1180
早稲田アカデミー 料金,2.741,-0.001,10.809,105,5226,1082,3889,47,41,884,3343,697,74,53
みやび個別指導学院,2.732,-0.017,10.505,123,6175,1485,4263,197,222,823,3567,975,108,59
湘南ゼミナール,2.724,-1.965,6.511,298,15079,4161,10085,342,383,1369,8653,3502,317,175
トライ 個別指導 料金,2.716,0.005,9.71,93,4747,1051,3409,138,67,391,2596,1330,63,38
高校受験 塾 いつから,2.713,-1.177,18.347,67,3428,390,2826,31,20,483,2320,437,21,30
家庭教師のトライ 料金表,2.707,25.908,10.677,120,6175,1472,4415,80,108,743,3419,1453,181,75
京進スクールワン,2.695,0.001,8.442,170,8854,2418,5753,333,449,745,4587,2087,226,97
臨海セミナー 夏期講習,2.695,-36.724,14.911,90,4690,745,3699,66,50,390,2987,1017,57,33
フリーステップ,2.687,0.017,7.745,228,11978,3412,7678,513,578,897,5862,3299,300,108
kec 塾,2.684,-4.833,11.557,83,4372,1129,2934,141,123,434,2441,931,72,71
中学生 勉強方法,2.674,-0.116,12.727,85,4523,1179,2988,142,38,398,2663,907,96,73
関塾,2.67,0.001,14.098,79,4222,1616,2356,61,97,414,1961,1051,353,164
英語塾,2.665,0.0,16.49,73,3920,926,2764,80,96,376,1997,1008,156,110
中学生 勉強 親の関わり方,2.642,-6.667,9.362,193,10602,2172,7728,63,34,798,6974,2175,132,128
教科書ガイド 中学,2.637,20.906,19.416,67,3699,859,2607,80,48,179,2195,889,147,62
市進,2.63,-2.379,13.117,79,4392,1392,2804,65,74,383,2629,1026,106,48
第一ゼミナール,2.618,-0.352,10.403,115,6474,2044,3997,140,176,680,3514,1438,200,110
ステップ 塾,2.612,-0.767,7.997,223,12625,2879,8973,299,181,814,7245,3376,204,139
大学受験 塾選び,2.61,-2.362,8.205,222,12589,2862,8794,575,109,178,6131,4905,183,103
夏期講習 小学生,2.608,-72.584,12.446,100,5685,724,4689,18,25,1163,3684,583,71,50
家庭教師,2.603,0.004,4.885,607,34682,14626,17933,781,2047,4269,15000,8329,2130,1062
スクールアイイー,2.603,1.131,15.866,56,3198,951,1968,170,169,427,1522,709,62,13
ena 塾,2.596,-0.002,7.993,245,14100,2631,10866,172,180,1692,8957,2514,197,176
内申点 オール3 偏差値,2.594,49.685,11.34,86,4955,962,3593,148,53,345,3003,1112,43,45
サイエイスクール,2.594,0.004,16.88,63,3633,962,2465,48,81,363,2178,755,83,40
栄光ゼミナール,2.593,-0.386,4.125,786,45332,12518,30406,742,954,4378,25744,10615,1214,724
臨海セミナー,2.592,-0.025,4.116,927,53546,14358,36163,1194,919,4763,30571,12865,1228,684
佐鳴予備校 月謝,2.586,-0.003,11.294,108,6276,1622,4294,91,70,996,3823,891,119,100
メガスタ 料金,2.582,0.459,15.272,84,4900,966,3661,84,64,223,2497,1807,88,38
英才個別学院,2.573,0.027,12.527,81,4767,1276,3189,143,269,390,2377,1258,136,62
中1理科,2.572,-2.818,17.866,53,3123,886,1913,129,63,200,1680,664,97,74
馬渕教室 高校受験,2.562,-0.231,18.318,55,3274,844,2215,53,45,227,1985,772,54,40
受験,2.557,3.955,7.736,227,13579,4900,7509,733,599,1470,5226,3624,786,465
模試,2.557,0.004,10.606,104,6221,1841,3683,857,458,459,2307,1530,147,100
木村塾,2.549,0.004,12.466,95,5728,1879,3464,108,162,617,3079,1217,234,139
立志館ゼミナール,2.549,-4.203,13.665,74,4463,1228,2920,139,117,422,2572,905,101,62
開成教育セミナー,2.548,-0.014,11.177,136,8208,2128,5602,175,166,904,4927,1517,198,105
トライ,2.543,0.006,5.802,374,22693,9199,12069,621,738,1618,7937,7334,2601,1149
市進 マイページ,2.536,-7.832,16.449,66,4030,1010,2802,80,29,277,2483,975,54,44
予備校,2.533,0.006,10.931,115,7047,2949,3539,373,509,611,2448,2241,383,205
高校受験 勉強方法,2.528,0.094,11.196,119,7330,1876,4763,381,117,381,4067,1781,119,101
高校受験,2.525,32.063,5.07,613,37843,10525,24697,942,705,2727,20665,9431,1051,949
私立高校,2.524,-0.105,10.687,168,10387,2976,6450,636,314,815,5031,2472,385,187
英進館 授業料,2.524,0.119,14.292,51,3154,838,2143,40,57,516,1895,466,58,52
進研ゼミ中学講座 退会,2.522,-6.492,16.843,74,4585,697,3641,28,7,346,3187,885,25,17
英進館 夏期講習,2.522,-37.797,17.688,66,4089,832,3031,42,31,367,2676,767,58,54
トーマス 塾,2.514,-4.721,12.763,106,6620,1421,4814,152,184,470,3363,2021,192,100
w模擬,2.514,-13.875,20.693,56,3498,1008,2264,104,58,116,1768,1273,71,25
坪田塾,2.506,0.0,9.264,180,11329,3210,7458,377,440,771,4868,3917,450,202
メガスタ 評判,2.501,1.823,12.335,94,5944,1433,4143,154,149,208,2700,2352,176,61
エナ,2.5,2.867,14.62,68,4306,1254,2846,64,126,522,2313,982,156,69
武田塾 料金,2.497,0.013,7.704,251,15938,4939,9852,1041,496,787,7072,5521,332,148
コミル,2.497,-19.118,17.161,56,3555,1119,2251,91,146,355,1937,834,90,36
塾代補助金,2.496,-0.0,7.967,158,10042,3202,6494,46,62,2232,6066,1345,116,64
能力開発センター,2.496,-24.392,10.473,101,6422,2235,3811,113,272,831,3251,1388,264,130
スクール21,2.49,-6.056,11.422,123,7865,2405,4980,170,181,734,4477,1801,170,121
塾講師 年収,2.49,0.0,11.262,81,5182,2236,2570,210,831,1139,1756,798,196,52
z会 中学生,2.489,0.002,10.402,175,11207,2790,7890,122,33,591,7139,2859,148,141
step 塾,2.487,-2.151,15.37,72,4621,1245,3098,133,104,348,2541,1240,79,57
中学受験 塾,2.485,-0.001,10.622,81,5208,1584,3431,34,116,1145,2782,828,153,76
日能研 入塾テスト,2.484,-4.424,14.693,53,3411,605,2668,5,21,646,2329,272,48,43
併願優遇とは,2.482,13.992,16.312,51,3289,789,2279,104,47,178,1781,965,61,39
中萬学院,2.481,-4.59,11.41,113,7291,2293,4620,127,206,866,3999,1569,268,115
オンライン家庭教師,2.478,2.488,12.688,94,6084,1866,3896,128,793,769,2708,1370,169,52
東京個別指導学院,2.477,0.0,5.871,340,22025,7420,13234,875,1251,1892,9762,6519,792,330
中学2年生,2.476,-27.954,17.215,79,5123,1943,2779,178,132,292,2529,1405,198,134
エベレス,2.471,-55.222,14.471,109,7103,1975,4639,229,58,350,4281,1773,110,90
中学校 偏差値 ランキング,2.465,20.094,13.375,95,6232,2749,3101,133,94,900,3059,1246,301,282
東進オンライン学校,2.459,0.566,12.524,140,9233,1927,6899,67,38,957,6061,1711,141,147
若松塾,2.459,-0.06,13.612,74,4883,1681,2916,92,142,632,2601,999,179,118
市進学院,2.456,-2.97,7.133,297,19646,5955,12669,317,327,2001,11356,4482,502,267
公立高校 偏差値,2.456,-13.976,16.316,55,3639,1167,2166,147,111,298,1862,829,146,70
kumon,2.45,-1.276,21.663,50,3329,948,2247,31,197,1182,1204,437,158,78
秀英予備校,2.446,-3.151,6.512,373,24928,7764,15585,741,748,2330,13366,5866,728,385
家庭教師 個人契約,2.44,-0.121,9.566,171,11498,3643,7255,187,955,1173,5312,2969,491,188
野田塾,2.438,-0.554,8.913,157,10576,3305,6610,257,250,1082,5876,2231,343,209
じゅ,2.437,-0.001,12.49,74,4990,2720,1991,34,222,691,1156,1242,889,588
臨海セミナー kitazo,2.436,-37.967,19.155,47,3174,567,2411,119,22,197,1820,864,27,22
京進,2.435,-11.451,9.303,169,11420,4194,6518,239,413,1289,5655,2594,577,313
受験生 勉強しない,2.429,2.718,16.377,71,4828,720,3556,501,60,196,2469,1239,35,33
私立高校 偏差値,2.428,12.397,11.171,153,10416,2390,7321,268,130,516,5512,3056,330,249
中学受験 塾選び,2.425,-9.995,11.12,133,9081,1764,6930,31,58,2016,5695,867,178,103
能開センター中学受験,2.417,0.494,14.536,68,4677,1321,3083,25,23,519,2893,844,173,97
駒込中学校偏差値,2.412,32.439,17.214,59,4078,773,3140,27,33,310,2553,904,95,86
都立高校 出願方法,2.406,119.236,12.863,49,3410,776,2450,53,18,115,1806,1268,55,28
全教研,2.402,-0.001,10.153,127,8867,3080,5206,149,182,1063,4896,1798,334,165
中3 数学,2.401,-32.487,19.367,54,3776,1377,1986,339,383,353,1412,743,154,115
英検3級 二次試験 問題例,2.401,25.531,17.21,48,3355,923,2119,152,52,144,1769,884,85,63
勉強できない子 特徴,2.399,-16.049,7.16,339,23756,5156,16630,567,466,3401,12841,4644,483,294
中高一貫校 塾,2.399,0.22,13.356,59,4135,862,3066,28,10,186,2636,1131,26,44
数学 中学1年,2.397,10.33,14.552,89,6249,1956,3653,256,212,644,3131,1097,249,223
能開センター会員サイト,2.391,0.24,18.104,54,3812,1066,2441,180,33,205,2267,852,55,36
中学1年 数学,2.39,0.003,12.889,89,6292,2813,3106,112,141,581,2929,1341,494,483
進研ゼミ中学講座,2.384,-5.767,5.016,777,55243,11182,40724,818,286,4651,36208,10918,506,439
神奈川全県模試,2.383,-4.167,19.969,54,3845,992,2610,153,49,180,2200,1056,66,33
日能研 費用,2.382,-19.078,13.573,84,5985,1114,4597,28,72,1332,3663,565,127,86
志門塾,2.382,-4.469,13.621,64,4562,1608,2671,104,124,560,2473,930,143,91
中学受験 勉強時間,2.381,-31.174,15.684,73,5206,1367,3572,49,35,821,3452,630,58,58
08001239612,2.38,-143.549,16.177,49,3497,681,2649,18,17,453,2506,386,37,24
塾代助成,2.375,-0.001,10.994,96,6887,2332,4300,25,81,1487,4052,1014,72,69
田中学習会,2.367,-12.896,10.598,109,7882,2431,4928,155,229,880,4514,1561,184,94
大学附属高校 ランキング,2.366,11.308,17.641,54,3911,897,2763,95,53,272,2270,1014,80,28
成績,2.365,1.119,13.187,80,5799,2495,2839,133,260,529,2040,1464,628,462
熟年夫婦,2.364,0.005,16.646,49,3553,2092,1281,30,174,267,437,950,931,662
創研学院,2.363,-0.0,10.526,134,9727,2415,6752,186,222,1124,5725,1818,270,136
馬渕教室 中学受験,2.36,0.015,12.786,97,7065,2024,4660,47,91,774,4419,1272,187,117
英進館 ホームページ,2.36,-23.999,17.739,47,3425,1032,2204,68,48,124,1842,1062,121,84
早稲田アカデミー,2.359,-0.798,4.244,890,64895,20091,41646,801,1131,7308,36704,14323,1971,1422
筆箱 中学,2.359,26.048,18.233,67,4886,1072,3167,335,42,358,2690,874,63,63
v模擬,2.357,0.139,9.278,188,13737,3862,9079,466,348,620,7058,4558,273,113
z会 高校講座,2.356,-0.273,15.042,61,4461,737,3433,158,27,97,2601,1389,43,31
vもぎ,2.356,-14.939,17.89,51,3730,1201,2359,71,96,241,1944,1207,99,23
高校説明会 親の服装,2.351,9.361,16.828,52,3823,684,2902,33,17,347,2575,730,20,17
全県模試 神奈川,2.35,-20.175,13.346,73,5369,1329,3666,243,72,194,2954,1611,94,37
京葉学院,2.349,-12.316,16.119,62,4568,1560,2715,150,129,426,2502,1040,122,61
公立高校,2.346,41.987,9.116,267,19722,6342,11818,750,343,1205,9518,5561,962,538
馬渕教室,2.345,-1.224,5.304,535,39564,12284,24914,684,840,4703,22171,7761,1353,956
武田塾 口コミ,2.342,0.019,10.497,105,7785,2132,5131,402,172,289,3309,3089,215,62
受験研究社,2.342,-13.715,22.005,48,3559,1263,2106,75,65,377,1899,800,181,75
能開センター,2.341,-9.861,6.335,361,26800,8443,16641,585,616,2879,15245,5515,755,393
フクト テスト 日程,2.341,32.117,15.726,50,3710,1091,2394,104,59,160,2104,1059,88,26
壊す,2.341,-17.224,16.692,47,3489,1464,1762,29,87,165,603,1111,856,473
期末テスト,2.34,-20.39,22.234,46,3418,1079,1977,177,148,433,1603,650,107,69
フクト,2.336,-6.441,16.248,58,4328,1382,2590,166,102,268,2350,1087,96,77
中学生髪型,2.333,-0.494,22.812,54,4039,1165,2462,192,52,343,2427,693,48,32
啓進塾,2.333,-0.847,19.892,50,3742,1020,2577,39,76,375,2172,808,155,71
鴎州塾,2.327,-1.073,10.102,149,11222,3527,6951,288,266,1446,6025,2267,374,206
読書感想文 書き方 中学校,2.326,-47.973,11.885,81,6101,1586,3495,649,84,370,2941,1127,95,76
関西個別指導学院,2.324,-5.71,18.292,54,4077,1053,2670,247,244,244,1886,1165,94,27
四谷大塚 組み分けテスト,2.322,27.845,20.518,51,3857,1113,2588,19,28,356,2586,656,94,71
内申点の出し方,2.321,10.86,8.513,232,17562,3698,12444,794,212,1262,10484,3724,189,149
家庭教師 トライ,2.309,-2.476,5.704,406,31126,10092,19156,298,695,2943,15196,8835,1712,591
私立中学,2.309,-6.991,12.127,113,8662,2115,6099,80,129,1224,5114,1567,200,179
公立中高一貫校,2.309,0.008,12.77,104,7973,1640,5971,57,84,1424,4868,1101,188,128
高校受験ナビ,2.308,26.349,18.43,72,5523,1861,3235,280,102,148,2504,1969,215,90
英語教室,2.304,0.012,13.502,81,6242,1435,4493,57,290,1676,2562,1084,301,140
授業,2.301,-0.001,13.805,81,6260,2695,3094,159,426,732,2158,1506,669,342
駒込中学校,2.3,11.844,16.673,60,4641,1364,3045,41,79,432,2779,1015,132,83
中1 数学,2.299,-0.197,12.64,126,9750,2897,6096,282,368,1135,5295,1681,311,217
自学,2.297,-0.237,19.444,60,4654,1533,2649,200,139,742,2099,709,218,219
英語検定 日程 2023年度,2.296,126.181,11.757,104,8076,2065,5564,190,179,787,3563,2431,492,235
ブイ模擬,2.296,13.724,13.25,80,6213,1188,4546,332,147,326,3437,1654,50,27
学校説明会 服装,2.296,-41.785,15.648,57,4428,869,3295,133,42,437,2815,834,45,20
内申点,2.295,0.033,16.692,48,3730,1158,2305,147,134,538,2075,599,55,48
トライイット,2.294,33.069,15.18,71,5524,1668,3275,564,266,343,2376,1415,168,65
チャレンジ 中学講座,2.293,3.566,10.696,192,14958,3164,10977,242,61,1011,10083,2983,117,111
0120959719,2.293,67.213,14.045,63,4908,808,3877,25,13,758,3533,467,27,23
中学受験をわらう ブログ,2.292,4.549,18.383,54,4211,757,3217,38,17,269,2532,1156,49,64
とある男が授業,2.289,-38.639,12.744,128,10010,2264,6781,567,192,633,5300,2284,305,175
西中学校,2.286,-36.983,22.379,43,3372,935,2091,240,161,472,1583,543,97,44
予備校 ランキング,2.285,2.439,12.369,71,5576,2260,2937,238,150,209,1962,2266,402,162
早稲田ゼミ,2.284,-4.614,13.173,61,4796,1542,2933,113,133,548,2730,930,114,72
中1,2.284,35.311,23.185,47,3695,1027,2391,95,211,591,1899,614,75,46
四谷大塚ドットコム,2.282,-48.289,13.677,86,6769,1845,4690,38,23,564,4403,1430,132,111
東高校 偏差値,2.282,16.713,19.837,52,4093,1130,2520,390,186,311,1849,865,139,67
思春期 うつ 症状,2.282,-12.165,25.253,43,3387,398,2729,76,39,139,1783,1086,79,61
類塾,2.277,0.002,16.41,66,5223,1720,3224,62,261,758,2481,1129,298,119
佐鳴予備校,2.275,-1.059,6.71,370,29354,10258,17128,860,889,3008,15126,6683,1143,576
進研ゼミ 中学講座,2.273,7.138,15.094,96,7631,1746,5500,138,71,860,4993,1323,54,44
偏差値の出し方,2.273,-1.362,18.434,50,3972,1268,2411,157,127,385,2015,932,137,68
内申点とは,2.272,10.012,8.393,219,17414,5114,10976,476,423,2403,9603,3201,347,249
中学男子髪型,2.271,0.363,21.592,50,3980,617,3058,81,9,259,2562,854,37,27
文理学院,2.271,-13.015,18.158,45,3581,1144,2206,109,129,363,1862,836,98,72
英検 会場 一覧 2022,2.271,-32.601,19.776,40,3186,715,2284,118,70,243,1859,748,48,17
開進館,2.27,0.02,17.256,61,4860,1392,3183,97,107,414,2754,1160,107,83
併願優遇 東京,2.269,-32.028,16.657,40,3190,720,2294,67,34,69,1813,1083,38,13
比例定数とは,2.269,31.468,19.906,39,3111,1133,1544,323,226,241,1338,510,88,60
中学受験,2.266,-0.105,3.738,1205,96466,27716,63571,832,1185,12373,55360,19201,3092,2255
英進館,2.265,-0.004,7.148,337,26998,9801,15539,500,762,3124,14547,5679,1046,539
進研ゼミ 高校講座,2.265,35.895,20.711,59,4724,1217,3168,264,85,325,2574,1255,48,20
被子植物,2.263,-27.318,19.353,54,4332,1647,2232,225,244,341,1793,776,349,287
受験生,2.262,-0.686,19.042,44,3536,1016,2130,416,178,294,1325,869,134,95
エディック,2.26,-8.898,13.622,84,6760,2201,4122,134,234,879,3613,1293,253,127
進学館,2.259,-13.96,18.99,48,3869,1001,2667,30,43,481,2439,632,91,68
英進館 合格速報,2.259,118.536,16.038,48,3866,1296,2318,95,32,192,2160,978,176,101
あづま進学教室,2.258,-33.89,15.868,61,4920,1443,3190,80,66,497,2990,1017,93,65
文理,2.256,-3.936,21.887,46,3719,1614,1898,63,142,410,1496,971,341,187
cpb 資生堂,2.256,-15.31,19.095,43,3474,830,2462,16,320,1671,987,293,87,22
スマイルゼミ 中学講座,2.255,7.709,17.711,73,5905,1095,4521,56,14,564,4072,989,63,44
中学数学,2.255,0.015,19.471,45,3639,1708,1588,217,565,351,1170,736,246,158
全県模試 愛知,2.253,2.07,17.206,66,5349,1461,3498,221,83,235,3284,1185,90,46
大学受験 塾 費用,2.253,-3.153,14.733,53,4297,1087,2931,104,68,307,2420,1191,62,37
スタディサプリ 評判,2.251,29.551,20.109,64,5198,1622,3280,129,144,537,2685,1402,138,42
東京都立高校偏差値,2.251,21.072,20.098,43,3491,1202,2079,71,89,222,1252,1148,380,212
都立,2.251,21.091,19.292,42,3413,1300,1945,99,103,309,1458,878,253,253
北辰テスト 申し込み,2.25,4.088,17.989,59,4797,775,3749,89,49,398,2998,1075,34,32
理科自由研究 中学,2.249,-85.992,19.59,42,3418,795,2284,157,22,143,1881,900,62,40
中学受験 失敗,2.248,-10.103,12.934,73,5948,928,4685,40,35,788,3965,874,92,47
サピックス 入室テスト,2.247,-0.592,14.556,73,5954,994,4708,22,24,1260,3782,562,143,95
千葉県公立高校,2.246,76.787,22.31,41,3346,1023,2057,162,69,199,1638,944,111,63
日進西高校,2.243,8.216,21.175,50,4094,1500,2226,233,298,368,1702,1075,131,59
フクト 福岡,2.239,-1.659,17.443,41,3370,951,2173,56,61,260,2002,747,83,28
名進研,2.237,-11.995,10.136,155,12768,3945,8235,150,211,1955,7259,2213,469,269
表面積の求め方,2.237,26.463,22.138,49,4037,1485,1935,456,398,433,1580,550,106,56
甲斐ゼミナール,2.237,-5.496,22.751,38,3131,1133,1804,46,102,384,1597,727,113,60
ラッシュガード 中学校,2.236,-107.161,16.61,38,3133,550,2391,69,14,146,2019,746,32,22
v模擬 偏差値 2022 東京,2.233,-2.59,14.999,62,5127,1186,3654,104,57,143,2641,1944,99,32
扇形の中心角の求め方,2.232,20.866,14.057,67,5547,1425,2852,1213,380,284,1872,664,88,39
中学受験 ブログ,2.231,-9.476,11.603,139,11518,2498,8424,68,57,1352,7431,2050,192,167
小6,2.227,-11.868,22.071,43,3578,1041,2273,72,195,691,1755,548,108,81
塾代助成費用,2.226,0.011,4.351,485,40395,11870,27032,148,266,9234,24252,5287,508,239
すらら 評判,2.226,3.301,19.316,54,4497,837,3420,34,32,547,2642,978,117,57
早稲田アカデミー 夏期講習,2.224,-9.966,16.237,48,4004,831,2982,32,46,438,2638,673,70,50
不登校 中学,2.221,-6.821,12.874,144,12050,2957,8244,170,137,764,6768,3095,363,312
埼玉高校偏差値,2.221,-10.193,17.688,55,4603,2113,2139,132,147,309,1830,1385,379,192
中学生 髪型,2.219,-4.291,20.896,50,4195,1239,2677,113,53,661,2628,531,33,28
やる気スイッチ,2.217,-2.086,6.456,355,29842,11155,17068,337,1075,4422,13753,7320,1687,512
恭順とは 意味,2.217,-54.32,25.57,51,4284,1127,2790,145,115,267,1902,947,460,233
