検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
老後資金 シュミレーション,2.798,-16.696,25.519,17,10647,4030,6116,10,170,1029,2578,4293,2044,312
楽天証券 ジュニアnisa,2.792,2.066,27.172,18,11333,4737,6305,28,331,5622,4429,629,155,62
子育て,2.782,-0.345,29.456,29,18452,5549,11883,88,1044,6532,6232,2453,1142,518
公文 算数,2.78,-6.675,17.661,10,6373,1159,4881,24,53,1694,3690,536,153,103
ファイナンシャルプランナー 相談,2.773,-13.467,24.498,17,10918,3475,7036,14,584,3218,3567,2383,849,157
生活費 平均 3人家族,2.767,-0.004,34.346,13,8396,2988,4990,26,420,2854,3099,1451,294,83
節約 貯金,2.763,2.768,28.535,16,10377,2661,7082,41,1097,3008,3851,1721,314,83
赤ちゃんファースト 商品,2.762,-15.943,30.998,11,7143,1720,5231,2,514,4628,1633,139,124,40
貯金 40代,2.731,-58.002,42.208,13,8703,3445,4805,12,54,987,6743,593,50,79
z会 幼児,2.708,-0.419,46.745,10,6854,1021,5565,8,95,3551,2670,165,228,60
住宅ローン金利,2.706,-2.467,24.207,22,15100,9416,5168,32,718,3909,5392,3428,1078,351
貯金,2.699,-7.569,28.534,31,21436,9049,11178,140,2454,6076,6149,3672,1667,744
ワーママ,2.696,-83.613,49.076,10,6931,874,5738,13,416,3208,2425,492,194,69
老後資金 夫婦二人 持ち家,2.689,-3.52,21.567,29,20247,7532,11604,27,236,1906,4761,7654,4287,824
子供一人にかかるお金,2.689,0.003,34.067,11,7682,3026,4252,129,1558,2935,1856,718,245,72
ひらがな 何歳から読める,2.68,-7.852,37.206,17,11977,2534,8913,24,386,6538,3913,349,397,155
節約,2.677,-7.827,19.269,46,32512,8774,21939,183,2630,9416,11651,5578,1625,711
習い事,2.674,-2.903,21.055,20,14178,2702,10638,174,1101,4325,5322,2018,604,267
住宅ローン 年収,2.673,-139.687,41.083,10,7097,3524,3300,9,674,3295,2057,615,259,66
算数オリンピック,2.664,51.484,38.157,15,10741,3408,6808,156,211,1802,5976,1642,465,284
nisa 恒久化,2.66,-57.551,24.696,14,10068,7586,2256,18,643,2888,3294,2051,764,341
私立中学,2.656,59.307,45.666,12,8662,2115,6099,80,129,1224,5114,1567,200,179
幼児食,2.653,66.274,37.841,16,11579,1408,9694,22,871,6705,2471,510,638,176
小1の壁,2.653,65.671,34.356,15,10853,1984,8373,14,424,5101,3935,703,380,128
富裕層,2.65,3.659,38.563,10,7259,4455,2490,59,378,1137,2121,1996,1052,375
保育料,2.639,-6.991,30.276,10,7341,2269,4810,12,928,4048,1486,407,268,102
4人家族 食費,2.638,8.266,25.042,23,16901,4635,11456,80,546,5556,7622,2280,382,113
新ニーサ,2.608,121.741,20.834,29,21953,13314,7992,24,1618,6813,7530,4115,1342,310
教育,2.608,-0.0,29.868,16,12111,6370,4876,329,1378,1893,3316,2696,1376,621
高校無償化,2.603,0.147,20.162,26,19791,8137,10817,95,389,4124,10495,3613,580,201
私立中学 学費,2.58,0.848,29.013,20,15571,4677,10237,57,278,4029,8574,1809,338,255
教育虐待,2.569,8.543,33.557,12,9449,2320,6581,144,704,2056,3735,1999,454,142
時短勤務 給料,2.568,-20.387,31.928,11,8666,1260,7117,9,867,4668,2131,614,203,80
生涯年収,2.565,0.004,22.727,13,10278,7280,2504,126,1523,2300,2721,2241,897,225
住宅ローン 借り換え,2.563,-14.449,27.125,15,11882,7446,4114,16,311,3269,5437,2349,319,100
保育料 計算方法,2.556,4.618,33.686,16,12764,2612,9737,8,2045,8385,1521,367,231,64
年収700万 手取り,2.555,-0.814,30.728,13,10379,5048,4897,40,949,3531,3664,1625,331,75
幼児教育,2.549,-8.743,30.604,12,9637,3065,6099,67,438,2508,3100,1785,1132,380
少子化,2.542,-18.152,25.997,20,16169,8495,6635,326,1878,4396,4481,2851,1153,588
マネードクター,2.542,-12.948,16.112,14,11329,4982,5930,30,943,3335,3325,2508,872,179
楽天証券 ideco,2.54,15.565,16.51,19,15403,7893,7080,18,908,3624,5459,4232,862,180
赤ちゃん 下痢,2.535,-85.171,29.506,14,11405,1708,9389,4,1707,7776,1444,160,176,38
z会 中学受験コース,2.533,-17.825,43.33,10,8165,1617,6195,29,19,1466,5541,841,83,90
