date,専門学校
2025-09-14,68
2025-09-21,66
2025-09-28,74
2025-10-05,71
2025-10-12,67
2025-10-19,66
2025-10-26,66
2025-11-02,64
2025-11-09,67
2025-11-16,62
2025-11-23,57
2025-11-30,64
2025-12-07,59
2025-12-14,64
2025-12-21,52
2025-12-28,29
2026-01-04,61
2026-01-11,67
2026-01-18,75
2026-01-25,68
2026-02-01,69
2026-02-08,63
2026-02-15,74
2026-02-22,58
2026-03-01,74
2026-03-08,75
2026-03-15,74
2026-03-22,70
2026-03-29,77
2026-04-05,100
2026-04-12,80
2026-04-19,74
2026-04-26,60
2026-05-03,57
2026-05-10,74
2026-05-17,73
2026-05-24,73
2026-05-31,75
2026-06-07,77
2026-06-14,77
2026-06-21,72
2026-06-28,70
2026-07-05,89
2026-07-12,95
2026-07-19,87
2026-07-26,82
2026-08-02,74
2026-08-09,53
2026-08-16,78
2026-08-23,78
2026-08-30,84
2026-09-06,76
2026-09-13,70
2026-09-20,41
